Orthogroup	gila	anole
OG0000017	augTM-ENSACAT00000017611-0	ENSACAT00000017611
OG0000029	augTM-ENSACAT00000008042-1	ENSACAT00000045685, ENSACAT00000011019, ENSACAT00000040434, ENSACAT00000010989, ENSACAT00000013930, ENSACAT00000008027, ENSACAT00000007103, ENSACAT00000042444, ENSACAT00000056992, ENSACAT00000011066, ENSACAT00000009629, ENSACAT00000009646, ENSACAT00000017590, ENSACAT00000039181, ENSACAT00000017577, ENSACAT00000017576, ENSACAT00000017588, ENSACAT00000043628, ENSACAT00000040446, ENSACAT00000037247, ENSACAT00000017583, ENSACAT00000002859, ENSACAT00000002854, ENSACAT00000007407, ENSACAT00000006472, ENSACAT00000006459, ENSACAT00000009681, ENSACAT00000028467, ENSACAT00000039180, ENSACAT00000009642, ENSACAT00000030126, ENSACAT00000041802, ENSACAT00000058149, ENSACAT00000002920, ENSACAT00000054720, ENSACAT00000038402, ENSACAT00000048728, ENSACAT00000036683, ENSACAT00000045150, ENSACAT00000038995, ENSACAT00000046997, ENSACAT00000047563, ENSACAT00000039173, ENSACAT00000041108, ENSACAT00000053655, ENSACAT00000051744, ENSACAT00000049109, ENSACAT00000042758, ENSACAT00000017593, ENSACAT00000005517, ENSACAT00000046066
OG0000051	augTM-ENSACAT00000013982-0	ENSACAT00000014451, ENSACAT00000057776, ENSACAT00000042008, ENSACAT00000045117, ENSACAT00000054135, ENSACAT00000008761, ENSACAT00000025106, ENSACAT00000014517, ENSACAT00000046370, ENSACAT00000039744, ENSACAT00000004013, ENSACAT00000047367, ENSACAT00000054190, ENSACAT00000039800, ENSACAT00000010482, ENSACAT00000046095, ENSACAT00000039566, ENSACAT00000015302, ENSACAT00000042053, ENSACAT00000042177, ENSACAT00000051287, ENSACAT00000029330, ENSACAT00000052295, ENSACAT00000040620, ENSACAT00000014589, ENSACAT00000058795, ENSACAT00000023145, ENSACAT00000048084
OG0000063	ENSACAT00000003354-0	ENSACAT00000003338
OG0000063	augTM-ENSACAT00000007283-0, ENSACAT00000026686-1	ENSACAT00000006030, ENSACAT00000058118
OG0000063	ENSACAT00000006030-0	ENSACAT00000041973
OG0000067	ENSACAT00000012203-0	ENSACAT00000012203
OG0000067	augCGP-10258.t1	ENSACAT00000000543
OG0000067	augTM-ENSACAT00000000803-1	ENSACAT00000001068
OG0000067	ENSACAT00000012480-2	ENSACAT00000012480
